,Characters,Words,AvgWordLen,UniqueWords,Sentences,AvgWordsSentence,Syllables,AvgSyllableWords,RareWordsRatio,LexicalDiversity,label
1412,1153,224,4.348214285714286,107,59,3.7966101694915255,280,1.25,0.36607142857142855,0.4776785714285714,Punk Rock
3647,531,123,3.4796747967479678,57,22,5.590909090909091,133,1.08130081300813,0.2764227642276423,0.4634146341463415,Heavy Metal
826,579,135,3.4,83,16,8.4375,144,1.0666666666666669,0.4444444444444444,0.6148148148148148,Punk Rock
4290,1098,225,3.991111111111111,123,29,7.758620689655173,258,1.1466666666666667,0.38666666666666666,0.5466666666666666,Heavy Metal
4716,740,157,3.9281045751633994,104,30,5.233333333333333,166,1.0573248407643312,0.4777070063694268,0.6624203821656051,Soft Rock
5886,855,175,3.8857142857142857,94,29,6.0344827586206895,186,1.062857142857143,0.37142857142857133,0.5371428571428571,Heavy Metal
10083,609,127,3.9763779527559056,63,23,5.521739130434782,150,1.1811023622047243,0.3228346456692913,0.4960629921259842,Soft Rock
9800,1358,261,4.314176245210728,141,34,7.6764705882352935,329,1.260536398467433,0.3984674329501916,0.5402298850574713,Heavy Metal
2302,619,134,3.7910447761194033,53,23,5.826086956521738,155,1.1567164179104477,0.2164179104477612,0.3955223880597015,Heavy Metal
6348,502,86,5.0348837209302335,9,20,4.3,118,1.372093023255814,0.02325581395348837,0.10465116279069768,Punk Rock
3023,938,239,2.928870292887029,46,55,4.345454545454547,242,1.0125523012552302,0.0794979079497908,0.19246861924686195,Punk Rock
3197,618,118,4.372881355932203,91,18,6.5555555555555545,149,1.2627118644067796,0.6694915254237288,0.7711864406779662,Heavy Metal
6243,1257,270,3.785185185185185,112,40,6.75,299,1.1074074074074074,0.2259259259259259,0.4148148148148148,Punk Rock
9810,1216,246,4.142857142857143,109,49,5.020408163265306,287,1.1666666666666667,0.22357723577235766,0.44308943089430897,Heavy Metal
1408,828,208,3.2980769230769234,59,79,2.632911392405063,235,1.1298076923076923,0.08653846153846154,0.2836538461538461,Punk Rock
5671,1370,295,3.766101694915254,98,37,7.972972972972973,333,1.128813559322034,0.15932203389830507,0.3322033898305085,Punk Rock
5543,1042,239,3.5983263598326363,66,57,4.192982456140351,263,1.1004184100418408,0.1589958158995816,0.2761506276150628,Heavy Metal
4143,862,219,3.0642201834862384,83,23,9.521739130434783,229,1.0456621004566211,0.273972602739726,0.3789954337899543,Heavy Metal
12369,1019,230,3.5217391304347827,86,42,5.476190476190476,251,1.0913043478260869,0.24347826086956526,0.3739130434782609,Punk Rock
11759,926,198,3.8181818181818175,47,35,5.6571428571428575,219,1.106060606060606,0.13131313131313133,0.23737373737373735,Punk Rock
12433,1095,230,3.9130434782608696,108,41,5.609756097560974,261,1.1347826086956525,0.2391304347826087,0.4695652173913044,Punk Rock
10280,751,147,4.272108843537415,116,28,5.25,179,1.2176870748299322,0.6598639455782312,0.7891156462585034,Heavy Metal
3887,545,127,3.4330708661417324,50,19,6.684210526315789,142,1.1181102362204725,0.1811023622047244,0.3937007874015748,Punk Rock
761,893,185,3.994594594594594,93,32,5.78125,229,1.237837837837838,0.34054054054054056,0.5027027027027027,Punk Rock
1290,800,190,3.3684210526315788,51,30,6.333333333333332,199,1.0473684210526315,0.04736842105263158,0.2684210526315789,Heavy Metal
10721,1142,244,3.8770491803278686,96,48,5.083333333333333,299,1.225409836065574,0.2459016393442623,0.3934426229508197,Soft Rock
825,570,134,3.3507462686567164,73,21,6.3809523809523805,140,1.044776119402985,0.3955223880597015,0.5447761194029851,Punk Rock
12539,1510,267,4.816479400749064,177,43,6.209302325581397,362,1.3558052434456929,0.5393258426966292,0.6629213483146067,Heavy Metal
10980,968,207,3.9504950495049513,126,28,7.392857142857142,239,1.1545893719806763,0.4492753623188406,0.6086956521739131,Heavy Metal
9818,932,203,3.773399014778325,79,38,5.342105263157895,217,1.0689655172413792,0.16748768472906406,0.3891625615763547,Heavy Metal
12002,644,140,3.7428571428571433,68,20,7.0,157,1.1214285714285714,0.21428571428571427,0.4857142857142857,Heavy Metal
5888,1269,239,4.313807531380753,138,38,6.289473684210527,305,1.2761506276150627,0.401673640167364,0.5774058577405857,Heavy Metal
